Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI,Upper_Band,Lower_Band,Company,Trend
1993-05-28 00:00:00-04:00,8.724981307983398,8.724981307983398,8.724981307983398,8.724981307983398,600,0.0,0.0,8.705464696884155,8.369485359191895,8.701122542655009,8.527790251979008,0.1497658421711385,0.1890833655070166,45.000117308644256,9.3728587426539,8.340501376212067,ALG,1
1993-06-01 00:00:00-04:00,8.724979453616672,9.05422396130032,8.724979453616672,8.889601707458496,9200,0.0,0.0,8.723649040857952,8.38694034576416,8.713282488771362,8.541978936507615,0.1382264309987775,0.1789119786053688,50.0,9.349744790622886,8.413001257350746,ALG,1
1993-06-02 00:00:00-04:00,8.724981307983398,8.724981307983398,8.724981307983398,8.724981307983398,4600,0.0,0.0,8.752706877390544,8.404375047683716,8.714037251301171,8.549155500094901,0.1144782401677311,0.1660252309178413,45.0001144122008,9.339650054147404,8.439558129141169,ALG,0
1993-06-03 00:00:00-04:00,8.560359954833984,9.054226875305176,8.560359954833984,8.560359954833984,22500,0.0,0.0,8.76537005106608,8.415245199203492,8.704122587012966,8.549594890476826,0.0814353247050743,0.1491072496752879,42.85729260889583,9.349744790622886,8.413001257350746,ALG,0
1993-06-04 00:00:00-04:00,8.560357199774847,8.889601707458496,8.560357199774847,8.889601707458496,5800,0.0,0.0,8.778100649515787,8.432700185775756,8.71608898188042,8.562928491142774,0.0808832620909303,0.1354624521584164,45.45444012627806,9.341175504792336,8.454494718443746,ALG,1
1993-06-07 00:00:00-04:00,9.05422306060791,9.05422306060791,8.724978585676714,9.05422306060791,20800,0.0,0.0,8.796318626403808,8.456719722747803,8.737904083733806,8.58219494484729,0.0926611755408739,0.1269021968349079,50.0,9.310314596565526,8.551203691093164,ALG,1
1993-06-08 00:00:00-04:00,8.971912834379408,8.971912834379408,8.724979453616672,8.889601707458496,51000,0.0,0.0,8.81278060277303,8.474174709320069,8.747691027199915,8.594250112008513,0.0877007299807246,0.1190619034640712,52.380910345071115,9.297927290878194,8.547128861465557,ALG,1
1993-06-09 00:00:00-04:00,8.724981307983398,8.724981307983398,8.724981307983398,8.724981307983398,400,0.0,0.0,8.823755232493083,8.491609411239624,8.746225884024657,8.599376825576156,0.0696827908517612,0.1091860809416092,50.0,9.299818519995148,8.528775592401091,ALG,0
1993-06-10 00:00:00-04:00,8.724979453616672,9.05422396130032,8.724979453616672,8.889601707458496,18100,0.0,0.0,8.829242579142253,8.513972644805909,8.755475937149422,8.61075819349311,0.0679041776364641,0.1009297002805802,44.9998537244789,9.285997522406705,8.526134454674596,ALG,1
1993-06-11 00:00:00-04:00,9.05422396130032,9.05422396130032,8.889601707458496,8.889601707458496,29900,0.0,0.0,8.845704555511475,8.537971868515015,8.764129212653234,8.621693233256458,0.065736840471926,0.0938911283188494,50.0,9.271330050020724,8.524339791745636,ALG,1
1993-06-14 00:00:00-04:00,9.05422831894061,9.05422831894061,8.971917152404785,8.971917152404785,5400,0.0,0.0,8.85393575032552,8.563617401123047,8.777534886185594,8.635427504595608,0.069856120746456,0.0890841268043707,51.35142075007187,9.229459346644116,8.541516529210377,ALG,1
1993-06-15 00:00:00-04:00,8.889600823142311,9.05422306060791,8.724978585676714,9.05422306060791,17300,0.0,0.0,8.875885105133056,8.590909051895142,8.795385736148324,8.651850859733345,0.0788531094136875,0.0870379233262341,48.57133398988687,9.229459346644116,8.541516529210377,ALG,1
1993-06-16 00:00:00-04:00,8.724978585676714,9.05422306060791,8.724978585676714,9.05422306060791,600,0.0,0.0,8.892347208658855,8.616564712524415,8.812084918371523,8.667630161728427,0.0850034212251777,0.0866310229060228,56.66663448262545,9.245090851139254,8.55880919997769,ALG,1
1993-06-17 00:00:00-04:00,9.05422306060791,9.05422306060791,8.971911941875112,9.05422306060791,24200,0.0,0.0,8.903321933746337,8.645492544174195,8.827706733999678,8.682790667566838,0.0888533416333228,0.0870754866514828,47.99986096467344,9.257370538827224,8.579453687552173,ALG,1
1993-06-18 00:00:00-04:00,9.218856811523438,9.218856811523438,9.218856811523438,9.218856811523438,500,0.0,0.0,8.92527182896932,8.6760768699646,8.85294222287218,8.703812869290626,0.1039902640587975,0.0904584421329458,63.63662217203864,9.257370538827224,8.579453687552173,ALG,1
1993-06-21 00:00:00-04:00,9.05422306060791,9.383467535539108,9.05422306060791,9.05422306060791,56200,0.0,0.0,8.947221183776856,8.698460359573364,8.86592808337126,8.717554445420715,0.1015314252700108,0.0926730387603588,54.5454018811683,9.270613936164745,8.582672425529594,ALG,1
1993-06-22 00:00:00-04:00,9.383473363415948,10.041962722252157,9.383473363415948,9.548095703125,21600,0.0,0.0,8.963683605194092,8.72908522605896,8.90993889754892,8.750124690820883,0.137845179180216,0.1017074668443302,69.23067325114323,9.40089384490264,8.518241916358345,ALG,4
1993-06-23 00:00:00-04:00,9.383473300933838,9.87734031677246,9.383473300933838,9.87734031677246,2200,0.0,0.0,8.996608225504557,8.771203231811523,8.972351892337537,8.794329225171925,0.190989768327551,0.1195639271409744,78.5712334990975,9.596379615404237,8.396836231611145,ALG,4
1993-06-24 00:00:00-04:00,9.877339876615086,9.877339876615086,9.38347288278433,9.630406379699709,9300,0.0,0.0,9.01581433614095,8.810018548965454,9.014807020554452,8.827116564565172,0.2107523116442742,0.1378016040416343,66.66659514757258,9.690055343560893,8.393703010626119,ALG,4
1993-06-25 00:00:00-04:00,9.877340417159232,9.877340417159232,9.38347339630127,9.38347339630127,900,0.0,0.0,9.026789347330729,8.830806589126587,9.038591948021988,8.848934479535215,0.2041356923575659,0.1510684217048206,57.142910344313925,9.719184258289006,8.38926748960528,ALG,1
1993-06-28 00:00:00-04:00,9.383473300933838,9.87734031677246,9.383473300933838,9.87734031677246,9200,0.0,0.0,9.048738797505695,8.868016347885131,9.09270474600589,8.889264120211186,0.2360221900781312,0.1680591753794827,68.74992079810886,9.8521175559524,8.371570092820795,ALG,4
1993-06-29 00:00:00-04:00,10.041956901550291,10.041956901550291,10.041956901550291,10.041956901550291,1400,0.0,0.0,9.081663258870442,8.901974058151245,9.153946820557142,8.934467758695073,0.2714465846269132,0.1887366572289688,74.99975560523912,10.00955523074167,8.329367937440702,ALG,4
1993-06-30 00:00:00-04:00,9.87734031677246,9.87734031677246,9.87734031677246,9.87734031677246,1900,0.0,0.0,9.120075225830078,8.942455940246582,9.200617368700064,8.97144315312948,0.2829755241956544,0.207584430622306,68.74997510790497,10.096378146177578,8.357780922883702,ALG,4
1993-07-01 00:00:00-04:00,9.548090168687164,10.041956901550291,9.548090168687164,10.041956901550291,16100,0.0,0.0,9.163974412282307,8.97968578338623,9.25489733856137,9.0134240844401,0.3019151841910972,0.2264505813360642,70.58814108134376,10.183647969740504,8.418670793992405,ALG,4
1993-07-02 00:00:00-04:00,10.041956901550291,10.041956901550291,10.041956901550291,10.041956901550291,400,0.0,0.0,9.19141108194987,9.01037124633789,9.305675374883236,9.05375870471893,0.3133133202651201,0.2438231291218754,69.69682819445129,10.27784292958863,8.43971135355346,ALG,3
1993-07-06 00:00:00-04:00,10.041962722252157,10.041962722252157,9.548095703125,9.548095703125,700,0.0,0.0,9.21336088180542,9.031179485321044,9.321315396060124,9.073144469362306,0.279276626770498,0.2509138286516,57.89481386939988,10.294587145374733,8.472354402019066,ALG,4
1993-07-07 00:00:00-04:00,9.630406379699709,9.630406379699709,9.630406379699709,9.630406379699709,1500,0.0,0.0,9.238054370880128,9.055872764587402,9.341256749843325,9.094997877610831,0.2559931559043686,0.2519296941021537,58.974426008206635,10.306989898180754,8.534032116437166,ALG,4
1993-07-08 00:00:00-04:00,9.548095703125,9.548095703125,9.548095703125,9.548095703125,1700,0.0,0.0,9.251772912343345,9.078919830322263,9.354601198442143,9.11276641978786,0.2282677255456953,0.2471973003908621,57.50007603439362,10.28646696960062,8.636866484531462,ALG,4
1993-07-09 00:00:00-04:00,9.548090168687164,10.041956901550291,9.548090168687164,10.041956901550291,600,0.0,0.0,9.295672098795572,9.105259342193603,9.398946727674929,9.149205262209916,0.243340515588688,0.2464259434304273,61.36351726943691,10.336788456267652,8.701780517273608,ALG,3
